,ACWI IMI,ACWI,World,Emerging Markets,Europe,North America,S&P 500,NASDAQ,Dow Jones,70/30
2006-02,204.90473207328068,323.745,1309.451,782.106,1562.331,1330.887,712.9432719300809,818.5826310202682,336.4265483526877,445.37820916840144
2006-03,209.2604193724184,329.791,1335.069,787.802,1616.907,1346.318,720.8539553077106,839.5371139504637,339.9736964379466,452.4506445341173
2006-04,215.63122322897405,340.19,1373.384,841.58,1693.592,1365.573,729.6164057928862,833.3584379731074,347.863629411904,470.80576519616164
2006-05,206.40034429894928,325.738,1322.246,750.996,1635.371,1322.648,707.0589162700837,781.8011436590564,341.77891903163504,443.3317934734265
2006-06,205.7624235386394,325.108,1319.934,747.539,1636.568,1320.773,707.1201451007761,779.3649059035907,341.2253234133007,442.1769389487412
2006-07,206.41460520217376,327.037,1327.233,755.836,1659.885,1323.799,710.7164724582391,750.4377032999498,342.3104891710926,445.36087879134624
2006-08,211.3330888607066,334.809,1358.872,773.124,1707.059,1354.095,725.836391943346,783.5485842669464,348.2923940597253,455.8485161755262
2006-09,213.36195700337677,338.276,1373.368,778.161,1720.643,1381.536,743.6675050236863,810.3443963837931,357.4095078194559,460.1434788150711
2006-10,221.37785791047207,350.75,1422.926,814.438,1793.41,1428.599,767.0989834383149,849.1962171782751,369.7013388398027,478.20188980632634
2006-11,227.64145033385793,360.043,1455.166,874.08,1852.944,1454.329,779.7305387797319,872.5403347757369,374.0223971027978,496.29204561539166
2006-12,232.40153610300447,367.784,1483.578,912.648,1911.788,1467.924,789.567449910943,866.6271737614102,381.40436933799316,509.6446225108063
2007-01,234.80297034241445,371.202,1500.232,901.477,1922.019,1490.932,800.6680126589417,884.0795922930581,386.2561011809258,511.7779097614718
2007-02,233.70106090933632,368.777,1490.44,895.542,1912.932,1462.93,783.1764783432742,866.9357002212552,375.45154286312845,508.4288426265349
2007-03,237.95055541124879,375.295,1514.181,928.903,1975.175,1478.557,790.9925662355279,868.9055566955694,378.0747863629412,519.7799677736355
2007-04,247.78599477439758,391.175,1577.86,970.856,2093.281,1542.31,825.2351805502984,906.0243908474863,399.7585565212415,542.1241456408785
2007-05,254.6589861516443,401.515,1616.871,1014.641,2116.106,1598.326,852.095949179391,934.5245444756179,417.04072748632575,558.8414154864124
2007-06,253.43764165406105,399.782,1602.36,1059.544,2111.242,1571.365,836.9147329070646,934.0616671860604,410.3381680554498,562.7500636250853
2007-07,249.180507382564,393.339,1565.811,1112.614,2064.693,1524.513,810.1486277198751,913.6239354161789,404.3207892951391,562.2208752681565
2007-08,247.54814328133196,391.489,1561.585,1086.825,2036.26,1542.775,820.5700329385286,931.5966966995246,408.78111313692057,557.2492296389476
2007-09,259.857594694944,411.918,1633.576,1204.74,2138.072,1605.834,849.941523408645,969.3218089969802,425.2419160403389,593.3697592516882
2007-10,269.9573700857182,427.629,1682.351,1337.448,2235.356,1640.889,862.5396441388515,1025.8772845203944,426.29402863715706,625.3802377047914
2007-11,257.11644536800765,408.099,1610.942,1241.869,2159.77,1558.805,824.5504505857513,954.7756886931229,409.20892145458714,593.3912352193654
2007-12,253.88456817475716,403.246,1588.803,1245.422,2121.265,1551.27,817.43580996365,951.6612533646531,405.93752519238865,588.1921070847033
2008-01,232.81433831955627,369.931,1466.346,1088.57,1898.571,1454.926,767.4386301595143,857.5026920510418,387.1334743272796,534.2340925111314
2008-02,233.418389434708,370.407,1455.56,1167.497,1925.779,1417.431,740.761548022499,815.0268679505438,375.3829859451594,543.1037538782977
2008-03,229.2379075180426,363.981,1437.403,1104.43,1926.535,1403.447,736.3468881687007,817.7610325912829,375.2758769678267,529.5600168744777
2008-04,241.11010945243225,383.295,1508.988,1191.365,2001.415,1473.751,771.3577510195178,865.7337435047493,392.3288574342603,560.5263452790008
2008-05,244.56786916639928,387.744,1525.726,1209.87,1991.826,1501.745,779.5913638127417,905.1524225393383,386.76501824984257,567.490505385641
2008-06,224.06883941713653,355.398,1402.129,1087.119,1815.378,1383.012,712.5758309893994,822.7412558437272,347.3394110605111,518.0374216432737
2008-07,218.18723547297813,345.746,1366.699,1041.856,1761.536,1357.677,705.5502813739994,834.4276810079932,348.19658173234575,502.4036623308184
2008-08,213.41619936742705,337.611,1344.862,956.253,1687.509,1369.381,714.151267151378,849.4868732809911,353.2747845100515,484.40066814191215
2008-09,185.9649792962244,294.79,1182.443,786.924,1431.177,1235.484,649.3124498395887,750.5847833471048,332.0580322057628,417.71726547687615
2008-10,148.18122552090495,236.111,957.245,570.521,1126.075,1012.261,539.3029970867037,617.4918822369746,285.3692170323297,327.5673610333077
2008-11,137.8336669366052,220.05,892.926,526.972,1044.682,935.899,498.936684224368,550.9759164087766,270.1912712608817,304.659316106738
2008-12,143.06741841999377,227.683,920.226,567.042,1098.839,942.513,502.839155735293,565.8521565206765,268.5800342620221,318.1292209436538
2009-01,130.8835138865545,208.023,838.827,529.532,976.211,867.565,459.7672896694527,529.7524145239576,244.84683363942125,292.11773447096647
2009-02,117.7818183670247,187.168,750.863,499.304,873.949,776.949,409.22452088949655,494.38102097993067,216.14377945711678,265.6719800349746
2009-03,127.20853005740011,202.036,805.216,569.967,932.1,842.261,444.1741209313578,548.4714384170192,232.85246612517957,290.4134964124049
2009-04,142.59578997764092,225.241,893.025,662.73,1054.748,924.461,485.89321039544586,616.1822653787453,249.96542642350676,326.7618320058468
2009-05,156.26817628513658,246.694,970.004,773.121,1172.0,984.677,511.6851247919682,636.6450944884183,260.1319033308606,362.8073286607086
2009-06,155.41659663544547,244.905,964.048,761.295,1146.11,979.975,511.7853266908093,658.4284028302617,258.499866151135,359.583038526039
