,ACWI IMI IMI (Large+Mid+Small Cap),ACWI Standard (Large+Mid Cap),WORLD Standard (Large+Mid Cap),EM (EMERGING MARKETS) Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),NORTH AMERICA Standard (Large+Mid Cap),S&P 500,NASDAQ,Dow Jones
2007-03,934.389,375.295,"1,514.181",928.903,"1,975.175","1,478.557",790.9925662355279,868.9055566955694,378.0747863629412
2007-04,973.011,391.175,"1,577.860",970.856,"2,093.281","1,542.310",825.2351805502984,906.0243908474863,399.7585565212415
2007-05,"1,000.000",401.515,"1,616.871","1,014.641","2,116.106","1,598.326",852.095949179391,934.5245444756179,417.04072748632575
2007-06,995.204,399.782,"1,602.360","1,059.544","2,111.242","1,571.365",836.9147329070646,934.0616671860604,410.3381680554498
2007-07,978.487,393.339,"1,565.811","1,112.614","2,064.693","1,524.513",810.1486277198751,913.6239354161789,404.3207892951391
2007-08,972.077,391.489,"1,561.585","1,086.825","2,036.260","1,542.775",820.5700329385286,931.5966966995246,408.78111313692057
2007-09,"1,020.414",411.918,"1,633.576","1,204.740","2,138.072","1,605.834",849.941523408645,969.3218089969802,425.2419160403389
2007-10,"1,060.074",427.629,"1,682.351","1,337.448","2,235.356","1,640.889",862.5396441388515,1025.8772845203944,426.29402863715706
2007-11,"1,009.650",408.099,"1,610.942","1,241.869","2,159.770","1,558.805",824.5504505857513,954.7756886931229,409.20892145458714
2007-12,996.959,403.246,"1,588.803","1,245.422","2,121.265","1,551.270",817.43580996365,951.6612533646531,405.93752519238865
2008-01,914.220,369.931,"1,466.346","1,088.570","1,898.571","1,454.926",767.4386301595143,857.5026920510418,387.1334743272796
2008-02,916.592,370.407,"1,455.560","1,167.497","1,925.779","1,417.431",740.761548022499,815.0268679505438,375.3829859451594
2008-03,900.176,363.981,"1,437.403","1,104.430","1,926.535","1,403.447",736.3468881687007,817.7610325912829,375.2758769678267
2008-04,946.796,383.295,"1,508.988","1,191.365","2,001.415","1,473.751",771.3577510195178,865.7337435047493,392.3288574342603
2008-05,960.374,387.744,"1,525.726","1,209.870","1,991.826","1,501.745",779.5913638127417,905.1524225393383,386.76501824984257
2008-06,879.878,355.398,"1,402.129","1,087.119","1,815.378","1,383.012",712.5758309893994,822.7412558437272,347.3394110605111
2008-07,856.782,345.746,"1,366.699","1,041.856","1,761.536","1,357.677",705.5502813739994,834.4276810079932,348.19658173234575
2008-08,838.047,337.611,"1,344.862",956.253,"1,687.509","1,369.381",714.151267151378,849.4868732809911,353.2747845100515
2008-09,730.251,294.79,"1,182.443",786.924,"1,431.177","1,235.484",649.3124498395887,750.5847833471048,332.0580322057628
2008-10,581.881,236.111,957.245,570.521,"1,126.075","1,012.261",539.3029970867037,617.4918822369746,285.3692170323297
2008-11,541.248,220.05,892.926,526.972,"1,044.682",935.899,498.936684224368,550.9759164087766,270.1912712608817
2008-12,561.800,227.683,920.226,567.042,"1,098.839",942.513,502.839155735293,565.8521565206765,268.5800342620221
2009-01,513.956,208.023,838.827,529.532,976.211,867.565,459.7672896694527,529.7524145239576,244.84683363942125
2009-02,462.508,187.168,750.863,499.304,873.949,776.949,409.22452088949655,494.38102097993067,216.14377945711678
2009-03,499.525,202.036,805.216,569.967,932.100,842.261,444.1741209313578,548.4714384170192,232.85246612517957
2009-04,559.948,225.241,893.025,662.730,"1,054.748",924.461,485.89321039544586,616.1822653787453,249.96542642350676
2009-05,613.637,246.694,970.004,773.121,"1,172.000",984.677,511.6851247919682,636.6450944884183,260.1319033308606
2009-06,610.293,244.905,964.048,761.295,"1,146.110",979.975,511.7853266908093,658.4284028302617,258.499866151135
2009-07,663.555,266.142,"1,044.753",844.024,"1,265.138","1,056.207",549.729974740559,709.9030905424858,280.6748014998544
2009-08,687.468,275.096,"1,085.599",839.460,"1,341.544","1,085.744",568.1790165195522,720.8683066369324,290.610533872056
2009-09,719.091,287.232,"1,126.985",914.045,"1,402.670","1,129.282",588.4762719593022,761.5428162587838,297.22068790172875
2009-10,705.843,282.588,"1,106.170",914.259,"1,385.573","1,102.725",576.8468035628248,733.8033354057983,297.2344650330207
2009-11,732.355,293.667,"1,149.007",953.128,"1,421.773","1,167.005",609.9370790517889,769.5012571664842,316.57863323834533
2009-12,749.158,299.435,"1,168.468",989.469,"1,442.124","1,190.235",620.7760091714129,814.1908155562336,319.12507147260425
2010-01,717.987,286.327,"1,119.537",933.590,"1,356.247","1,143.027",597.823284488447,770.4879811993331,308.0861226109397
2010-02,726.716,289.497,"1,133.348",935.929,"1,326.549","1,178.418",614.8694317271355,803.1072521457022,315.9794326257561
2010-03,772.973,307.404,"1,200.530","1,010.334","1,408.542","1,249.490",651.0215564898823,860.4089902788322,332.2407211506385
2010-04,776.342,307.348,"1,198.564","1,020.033","1,364.888","1,267.923",660.6301336908753,883.0964598515928,336.8917133170244
2010-05,700.080,277.173,"1,079.801",926.404,"1,188.129","1,164.573",606.4744221826413,809.8456907801879,310.2068743850629
2010-06,676.739,268.247,"1,041.323",917.985,"1,177.025","1,100.946",573.7960991594457,756.8137416038339,299.11006754903565
2010-07,730.594,289.751,"1,124.826",991.410,"1,312.821","1,176.596",613.2605609539465,809.0060467944937,320.28462178524575
2010-08,703.248,279.064,"1,080.699",970.046,"1,261.721","1,124.576",584.1618479826086,758.5324494806537,306.4761109100909
2010-09,770.868,305.164,"1,179.194","1,075.529","1,399.176","1,223.445",635.3058621338757,849.8815979340466,330.14199485539206
2010-10,798.505,315.947,"1,222.226","1,105.754","1,458.637","1,269.147",658.7206911994259,899.6805892662665,340.25431956773275
